CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Inflow,Flag Codes,Flags
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2014,2014,9432,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2015,2015,11370,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2016,2016,49847,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2017,2017,56950,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2018,2018,64985,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2019,2019,74915,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2000,2000,7801,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2001,2001,9554,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2002,2002,6412,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2003,2003,2401,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2004,2004,1600,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2005,2005,1609,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2006,2006,2117,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2007,2007,3425,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2008,2008,3118,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2009,2009,4672,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2010,2010,2104,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2011,2011,1693,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2012,2012,2157,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2013,2013,18565,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2014,2014,41111,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2015,2015,174430,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2016,2016,28070,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2017,2017,3120,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2018,2018,635,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,HUN,Hungary,2019,2019,470,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2000,2000,24,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2001,2001,52,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2002,2002,117,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2003,2003,80,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2004,2004,76,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2005,2005,88,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2006,2006,39,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2007,2007,42,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2008,2008,77,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2009,2009,35,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2010,2010,51,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2011,2011,76,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2012,2012,113,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2013,2013,172,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2014,2014,170,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2015,2015,360,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2016,2016,1132,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2017,2017,1065,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2018,2018,730,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ISL,Iceland,2019,2019,805,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2000,2000,10938,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2001,2001,10325,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2002,2002,11634,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2003,2003,7900,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2004,2004,4769,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2005,2005,4324,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2006,2006,4314,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2007,2007,3988,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2008,2008,3866,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2009,2009,2689,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2010,2010,1939,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2011,2011,1419,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2012,2012,1104,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2013,2013,946,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2014,2014,1448,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2015,2015,3280,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2016,2016,2237,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2017,2017,2910,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2018,2018,3655,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,IRL,Ireland,2019,2019,4740,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,ITA,Italy,2000,2000,15564,,
